Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
4,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tropical fruit,yogurt,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,,,,,,,,,,,,,,,,,,,,,
1,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frankfurter,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,
2,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sausage,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
4,yogurt,beverages,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
5,root vegetables,other vegetables,whole milk,beverages,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,
3,beef,grapes,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,root vegetables,other vegetables,whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,citrus fruit,zwieback,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
13,tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy,,,,,,,,,,,,,,,,,,,
2,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,butter milk,yogurt,cream cheese,spread cheese,rolls/buns,bottled water,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
1,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product,,,,,,,,,,,,,,,,,,,,,,
4,sausage,rolls/buns,cat food,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ham,grapes,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
5,whole milk,yogurt,processed cheese,pickled vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,curd,yogurt,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,packaged fruit/vegetables,brown bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
6,ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rolls/buns,pastry,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
2,sausage,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,beef,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,frankfurter,tropical fruit,rolls/buns,brown bread,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,curd cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,whole milk,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
1,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,
8,frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,meat spreads,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frozen potato products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,other vegetables,whole milk,rolls/buns,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,citrus fruit,whole milk,curd,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,flour,salt,bottled water,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sugar,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frozen meals,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,
4,root vegetables,onions,hard cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
2,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pork,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,fruit/vegetable juice,salty snack,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,citrus fruit,butter milk,yogurt,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate,,,,,,,,,,,,,,,,,,,,,,,
1,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,grapes,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
10,chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,yogurt,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,
3,frankfurter,rolls/buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,beef,citrus fruit,berries,root vegetables,brown bread,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,
7,whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,
1,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,tropical fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes,,,,,,,,,,,,,,,,,,,,,,
2,packaged fruit/vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
2,berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,citrus fruit,berries,UHT-milk,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,
7,hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,cream cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
4,frankfurter,sausage,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,packaged fruit/vegetables,dessert,semi-finished bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,
1,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,butter milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,curd cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,whole milk,yogurt,beverages,brown bread,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,berries,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,curd,flour,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tropical fruit,other vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,frankfurter,sausage,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,other vegetables,misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,citrus fruit,butter,cream cheese,white bread,oil,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder,,,,,,,,,,,,,,,,,,,,,,
5,butter milk,yogurt,honey,soda,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pasta,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
7,sausage,pork,citrus fruit,dessert,white bread,dishes,candles,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,grapes,other vegetables,curd,dessert,yogurt,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
9,root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,
2,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,whole milk,rolls/buns,sugar,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,beef,herbs,flour,cling film/bags,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,butter,dessert,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frankfurter,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tropical fruit,specialty cheese,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,finished products,other vegetables,frozen vegetables,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,beverages,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,hamburger meat,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,pastry,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,finished products,white wine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,curd,butter milk,cocoa drinks,salty snack,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,cream cheese,cereals,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,dessert,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,soft cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,other vegetables,bottled water,waffles,dishes,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ham,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,soda,bottled beer,white wine,prosecco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,herbs,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles,,,,,,,,,
2,rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,curd,cream cheese,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
6,frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,curd,salt,liquor (appetizer),detergent,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pork,beef,pip fruit,herbs,spices,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,frankfurter,citrus fruit,UHT-milk,margarine,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
